video_id,count,clicks
cv_1256,3,0
cv_4342,1,0
cv_6943,1,0
cv_4336,1,0
cv_6798,2,0
cv_5738,1,0
cv_10780,2,0
cv_8965,1,0
cv_4799,2,0
cv_5881,2,0
cv_4325,2,0
cv_2120,2,0
cv_6321,1,0
cv_10048,1,0
cv_4351,1,0
cv_7926,1,0
cv_7922,2,0
cv_7079,2,0
cv_7206,1,0
cv_12227,1,0
cv_6942,1,0
cv_4772,1,0
cv_4352,2,0
cv_3716,2,0
cv_12150,2,0
cv_3966,2,0
cv_8866,1,0
cv_7213,2,0
cv_7877,2,0
cv_6862,1,0
cv_9055,2,0
cv_3901,2,0
cv_5800,2,0
cv_8849,1,0
cv_8937,1,0
cv_10761,2,0
cv_9922,1,0
cv_1037,2,0
cv_8920,1,0
cv_4293,2,0
cv_9842,2,0
cv_3260,1,0
cv_6967,2,0
cv_6770,2,0
cv_12203,2,0
cv_4366,1,0
cv_9066,2,0
cv_9056,1,0
cv_4312,1,0
cv_10022,1,0
cv_4760,2,0
cv_12231,1,0
cv_3721,1,0
cv_10748,2,0
cv_9048,1,0
cv_819,1,0
cv_12189,2,0
cv_8890,1,0
cv_6835,1,0
cv_4197,2,0
cv_3899,3,0
cv_8989,1,0
cv_3922,1,0
cv_8983,1,0
cv_11873,1,0
cv_188,1,0
cv_4355,2,0
cv_7161,2,0
cv_5764,3,0
cv_4341,2,0
cv_8911,1,0
cv_1455,1,0
cv_4595,1,0
cv_5805,3,0
cv_7906,1,0
cv_9256,2,0
cv_6456,2,0
cv_4374,2,0
cv_10099,1,0
cv_8910,1,0
cv_557,3,0
cv_8917,2,0
cv_12157,2,0
cv_8992,1,0
cv_176,2,0
cv_3842,2,0
cv_10017,1,0
cv_3853,1,0
cv_3256,2,0
cv_1604,1,0
cv_8865,1,0
cv_1635,2,0
cv_3856,2,0
cv_11278,2,0
cv_12159,1,0
cv_1556,2,0
cv_8177,3,0
cv_12261,1,0
cv_9520,1,0
cv_4316,2,0
cv_1916,1,0
cv_4542,2,0
cv_6483,2,0
cv_6860,3,0
cv_4195,1,0
cv_12177,2,0
cv_9028,2,0
cv_3295,2,0
cv_8869,1,0
cv_1491,2,0
cv_4182,2,0
cv_8862,1,0
cv_8949,1,0
cv_3216,2,0
cv_1585,2,0
cv_12154,1,0
cv_1489,2,0
cv_8931,1,0
cv_1411,3,0
cv_6926,2,0
cv_4479,1,0
cv_8975,1,0
cv_1587,2,0
cv_8519,1,0
cv_1581,2,0
cv_4191,2,0
cv_1328,3,0
cv_4040,2,0
cv_4196,1,0
cv_9008,2,0
cv_1493,2,0
cv_9032,1,0
cv_6526,1,0
cv_4868,1,0
cv_12198,2,0
cv_7944,2,0
cv_8764,1,0
cv_10835,1,0
cv_9489,1,0
cv_1059,2,0
cv_4844,2,0
cv_3888,2,0
cv_6885,4,0
cv_8420,1,0
cv_24,1,0
cv_11901,1,0
cv_8936,1,0
cv_11833,1,0
cv_3297,2,0
cv_1261,2,0
cv_8466,1,0
cv_8479,1,0
cv_8928,1,0
cv_4317,2,0
cv_1488,2,0
cv_1525,2,0
cv_4328,2,0
v052,3,0
cv_1269,2,0
cv_8517,1,0
cv_9049,1,0
cv_8492,1,0
cv_1593,1,0
cv_8870,1,0
cv_4189,2,0
cv_12156,2,0
cv_8530,1,0
cv_8993,1,0
cv_8538,2,0
cv_6812,2,0
cv_11220,2,0
cv_10793,2,0
cv_9132,2,0
cv_6948,2,0
cv_8939,1,0
cv_9503,1,0
cv_1320,2,0
cv_6492,1,0
cv_6891,3,0
cv_12272,1,0
cv_12173,1,0
cv_6794,2,0
cv_11769,2,0
cv_11191,3,0
cv_6908,2,0
cv_12277,1,0
cv_6799,2,0
cv_4861,1,0
cv_12291,1,0
cv_9116,2,0
cv_7207,2,0
cv_9011,2,0
cv_4225,3,0
cv_12265,1,0
cv_7303,2,0
cv_1465,1,0
cv_9076,2,0
cv_8558,1,0
cv_8482,1,0
cv_4164,2,0
cv_4287,2,0
cv_9889,1,0
cv_1345,2,0
cv_9348,1,0
cv_766,2,0
cv_5642,2,0
cv_3410,1,0
cv_3926,2,0
cv_1896,1,0
cv_11060,3,0
cv_5002,2,0
cv_1701,2,0
cv_6849,1,0
cv_9607,1,0
cv_11764,3,0
cv_12138,2,0
cv_12346,1,0
cv_3044,2,0
cv_9010,2,0
cv_6570,2,0
cv_9001,1,0
cv_11721,1,0
cv_6892,2,0
cv_9372,1,0
cv_9047,1,0
cv_1656,1,0
cv_6551,2,0
cv_4535,2,0
cv_8892,1,0
cv_11205,2,0
cv_1785,1,0
cv_104,1,0
cv_12141,1,0
cv_4499,2,0
cv_11201,3,0
cv_12316,1,0
cv_8852,1,0
cv_12228,1,0
cv_12166,2,0
cv_6911,2,0
cv_1531,1,0
cv_9035,1,0
cv_11072,1,0
cv_11757,2,0
cv_1516,1,0
cv_9954,2,0
cv_11675,2,0
cv_8437,2,0
cv_12334,1,0
cv_4310,1,0
cv_4330,2,0
cv_9012,1,0
cv_11685,2,0
cv_6778,2,0
cv_10249,1,0
cv_1622,2,0
cv_6525,1,0
cv_10291,1,0
cv_830,1,0
cv_1537,1,0
cv_10762,2,0
cv_3709,2,0
cv_9075,1,0
cv_11211,3,0
cv_12341,1,0
cv_12183,2,0
cv_11059,1,0
cv_1590,2,0
cv_1540,2,0
cv_11890,2,0
cv_9378,1,0
cv_12771,1,0
cv_9080,3,0
cv_4230,2,0
cv_9237,2,0
cv_6816,3,0
cv_12163,2,0
cv_9552,3,0
cv_10554,2,0
cv_6774,3,0
cv_1529,2,0
cv_8970,1,0
cv_2057,2,0
cv_11996,1,0
cv_11762,3,0
cv_8260,1,0
cv_11904,2,0
cv_2965,2,0
cv_829,1,0
cv_8183,2,0
cv_8962,1,0
cv_12191,1,0
cv_11872,2,0
cv_8539,2,0
cv_11080,1,0
cv_2032,2,0
cv_8687,1,0
cv_2050,2,0
